sprint,milestone,story_id,title,type,files,acceptance_criteria,test_gate,status,points
S0,—,S0-1,Architecture stop gate sign-off,docs,00-ARCHITECTURE-REVIEW-STOP-GATE.md,PO+architect sign,checklist,done,0
S0,—,S0-2,Gap matrix CSVs for UX/business,docs,gap-matrix-events.csv;gap-matrix-features.csv,Importable in Sheets,review,done,0
S0,—,S0-3,E2E skeleton food happy path,test,e2e/food-happy-path.spec.ts,Skipped tests pass in CI,CI skeleton,done,2
S1,M1,S1-1,Migration order_packing_proofs,db,infra/postgres/migrations/045_order_packing_proofs.sql,Migration applies clean,db migrate,done,3
S1,M1,S1-2,packingProof server module,backend,lib/server/packingProof.ts,Upload validates mime/size,unit packingProof,done,5
S1,M1,S1-3,POST packing-proof API,backend,app/api/merchant/orders/[id]/packing-proof/route.ts,201 on success,api test,done,5
S1,M1,S1-4,Merchant packing photo UI,frontend,app/m/merchant/orders/page.tsx,Upload before ready enabled,manual merchant,done,5
S1,M1,S1-5,Ready gate without photo,backend,lib/server/merchantOrders.ts,409 without proof,integration,done,3
S1,M1,S1-6,Emit packing_proof event,backend,lib/server/aqondEventBus.ts,Event in JSON log,event inspect,done,2
S1,M1,S1-7,Integration test packing gate,test,scripts/packing-proof.test.mjs,CI green,npm test,done,3
S2,M1,S2-1,Signed pickup QR token,backend,lib/server/merchantOrderQr.ts,Verify roundtrip,unit qr,todo,5
S2,M1,S2-2,GET pickup-qr API,backend,app/api/merchant/orders/[id]/pickup-qr/route.ts,Returns payload+svg,api test,todo,3
S2,M1,S2-3,Merchant QR display,frontend,app/m/merchant/orders/page.tsx,QR scannable,manual scan,todo,5
S2,M1,S2-4,Print QR card component,frontend,components/mobile/MerchantOrderQrCard.tsx,Print layout ok,visual,todo,3
S3,M1,S3-1,Extend rider phases,backend,lib/riderPhaseFlow.ts,5 new phases,unit phase,todo,5
S3,M1,S3-2,Rider QR scanner UI,frontend,components/mobile/RiderQrScanner.tsx,Scan decodes token,manual,todo,5
S3,M1,S3-3,verify-pickup API,backend,app/api/rider/jobs/[id]/verify-pickup/route.ts,Mismatch 400,api test,todo,5
S3,M1,S3-4,Pickup photo mandatory,frontend,app/m/rider/active/[jobId]/page.tsx,Block depart,manual rider,todo,5
S3,M1,S3-5,Phase order guards,backend,app/api/rider/jobs/[id]/phase/route.ts,Skip rejected,integration,todo,3
S3,M1,S3-6,QR and pickup events,backend,lib/server/aqondEventBus.ts,Events logged,event inspect,todo,2
S4,M1,S4-1,Customer confirm receipt,backend,lib/server/foodConfirmReceipt.ts,Sets completed,unit,done,5
S4,M1,S4-2,confirm API,backend,app/api/food/tracking/[orderId]/confirm/route.ts,200 confirm,api test,done,3
S4,M1,S4-3,Track confirm CTA,frontend,app/m/food/track/[orderId]/page.tsx,Button visible post-delivery,manual,done,3
S4,M1,S4-4,Review tip after confirm,frontend,components/mobile/TtDeliveryReviewPanel.tsx,Blocked until confirm,manual,done,3
S4,M1,S4-5,Wire RiderIssueSheet,frontend,app/m/rider/active/[jobId]/page.tsx,Sheet opens,manual,done,2
S4,M1,S4-6,Merchant chat from order,frontend,app/m/merchant/orders/page.tsx,Deep link chat,manual,done,2
S4,M1,S4-7,M1 completion events,backend,lib/server/aqondEventBus.ts,review tip confirmed,event trace,done,2
S5,M1,S5-1,E2E food happy path CI,test,e2e/food-happy-path.spec.ts;scripts/food-happy-path.test.mjs,Green in CI,e2e,done,8
S5,M1,S5-2,Feature flags env docs,docs,.env.example,Flags documented,review,done,2
S5,M1,S5-3,Update gap matrix M1 rows,docs,gap-matrix-features.csv,M1 all check,diff review,done,2
S6,M2,S6-1,trackOsProjection module,backend,lib/server/trackOsProjection.ts,Unified shape,unit,done,8
S6,M2,S6-2,Admin track BFF API,backend,app/api/admin/food/orders/[id]/track/route.ts,200 full payload,api test,done,5
